date,title
AUGUST 1 2022,Lanserhof lands on the island of Sylt
,German retail sales fall by largest rate on record
JULY 31 2022,Shock jock diplomacy: Ukraine’s gadfly ambassador bids farewell to Berlin
,England crowned Euro 2022 champions with 2-1 win over Germany
JULY 28 2022,German inflation hits 8.5% as food prices jump
JULY 27 2022,Tank trap: Germany and allies struggle to seal deals over Ukraine-bound weapons
,Germany books final spot as Euro 2022 approaches fever pitch
JULY 26 2022,Germany rethinks nuclear power exit due to threat of winter energy crunch
JULY 25 2022,Anglo-French merger would challenge Elon Musk’s SpaceX
,German recession looms as business confidence slumps to two-year low
JULY 24 2022,Seven of the best spots for open-air swimming in Frankfurt
JULY 20 2022,IMF calls for rethink of German debt-cutting plan if Russia halts gas flows
JULY 19 2022,The investment drought of the past two decades is catching up with us
,German energy rationing debate pits consumers against industry
JULY 17 2022,Russian gas cuts threaten to shutter Germany industry
,A German gas crisis will cause jitters across Europe
JULY 15 2022,Germany’s Uniper forced to draw on gas supplies reserved for winter emergency
JULY 13 2022,Deutsche Bank turnaround plan hit by costly tech delay
JULY 12 2022,Why companies could soon pay for climate change
JULY 11 2022,Russia turns off gas pipeline to Germany for repairs
JULY 10 2022,Canada waives Russia sanctions to ease Germany’s gas shortage
JULY 7 2022,Germany dims the lights to cope with Russia gas supply crunch
JULY 4 2022,Germany draws up law to take stakes in struggling gas importers
,Germany warns of ‘historic challenge’ as trade slides into deficit
,Uniper: the pain from Germany’s gas crisis will be widely shared
JULY 3 2022,Germany and Ireland accuse UK of not acting in ‘good faith’ over Northern Ireland
JUNE 28 2022,German arms companies fear for their slice of defence windfall
,Liberals must learn from the Merkel years
JUNE 27 2022,The surprising revival of eastern Germany
JUNE 26 2022,Germany is struggling to give shape to a new foreign policy
JUNE 23 2022,Eurozone central bank chiefs warn on soaring inflation expectations
JUNE 22 2022,Olaf Scholz says partnership with Putin’s Russia is ‘inconceivable’
JUNE 21 2022,Scholz aide’s comments on future links with Russia trigger dismay
,German finance minister rejects 2035 combustion engine ban
,Germany/coal: rising emissions leave politicians doubly compromised
,Merkel’s lack of regrets illustrates the fallacies of Germany’s Russia policy
JUNE 20 2022,Björk’s Orchestral tour — avant-garde electronica captivatingly reimagined
JUNE 19 2022,Germany fires up coal plants to avert gas shortage as Russia cuts supply
JUNE 18 2022,Private equity chiefs fear waking up with ‘a terrible hangover’
JUNE 17 2022,VW faces union and shareholder calls to examine China human rights allegations
JUNE 16 2022,Covid hospital admissions rise in Europe as sub-variants fuel new wave
,European leaders back Ukraine’s bid to apply for EU membership
,Germans told to conserve energy as Russia cuts gas flows to Europe
JUNE 15 2022,Merkel censured by Germany’s highest court for intervening in 2020 regional poll
JUNE 14 2022,Germany plans to base extra Nato troops at home rather than Lithuania
,Apple faces German antitrust probe over app tracking rules
JUNE 13 2022,German beer drinkers face higher prices at the bottom of the glass
JUNE 13 2022,Berlin working on multibillion-euro rescue for Gazprom Germania
JUNE 9 2022,"Gallerist Johann König: ‘The art market is progressive in its content, but conservative in its performance’"
JUNE 8 2022,Combative Merkel denies appeasing Putin over Ukraine
JUNE 6 2022,Deutsche Bank relocated hundreds of IT specialists from Russia to Germany
JUNE 5 2022,LNG revolution: Germany’s plan to wean itself off Russian gas takes shape
JUNE 3 2022,Germany approves €100bn fund to modernise its armed forces
JUNE 2 2022,Ukraine’s fight for freedom exposes ‘sovereign Europe’ as a delusion
JUNE 1 2022,Germany offers €9-a-month public transport ticket
MAY 29 2022,The new Schleswig-Holstein question is about hydrogen
,"Europe’s unity ‘crumbling’ on Russia sanctions, Germany warns"
MAY 24 2022,Germany has the power to kick its Russian O&G habit
,German companies struggle to be heard above the noise
MAY 22 2022,How war in Ukraine convinced Germany to rebuild its army
,"Short seller attack as instructive as ‘lost Champions League final’, says Grenke"
MAY 21 2022,German finance minister urges EU to rein in public spending
,Germany’s corporate whistleblowers stuck in legal nowhere land
MAY 20 2022,Gerhard Schröder steps down as Rosneft chair after Ukraine backlash
MAY 18 2022,Gerhard Schröder to be stripped of German parliamentary privileges
MAY 16 2022,Scholz suffers election setback in North Rhine-Westphalia
MAY 12 2022,"German policy shifts too slow for some, too fast for others"
,European banks: rate rises are going to be a tightrope walk
MAY 11 2022,"Les Troyens, Munich review — desperately mediocre evening of blood and porn"
MAY 10 2022,Bundesbank boss calls for July rate rise to tackle ‘disturbing’ inflation
MAY 9 2022,VW chief’s call for settlement to end war draws outrage from Kyiv
,Study puts cost of halting Russian gas supply at 12% of German GDP
MAY 9 2022,Eurozone’s long-stagnating wages start to rise as cost of living soars
MAY 8 2022,Scholz vows to continue sending heavy weapons to Ukraine
MAY 7 2022,Germany scrambles to change its Russia policy
MAY 5 2022,German and French factories hit by Ukraine war and China lockdowns
MAY 4 2022,Industrial strength amplifies Germany’s carbon challenge
,"UK-German trade falls sharply since Brexit vote, data show"
MAY 3 2022,Germany’s Olaf Scholz struggles to get his message across on Ukraine
MAY 2 2022,ProSieben chief makes light of German media consolidation talk
,Modi invited to G7 summit as west seeks to weaken New Delhi’s Russian ties
,Adler shares plunge 45% after KPMG refuses to sign off results
MAY 1 2022,EU steps up action on Russian oil sanctions
APRIL 29 2022,Weak EU growth and Covid-hit China raise prospect of global downturn
APRIL 26 2022,Germany accelerates decoupling from Russian oil
,Germany makes U-turn on sending heavy weaponry to Ukraine
APRIL 24 2022,Germany has a special responsibility to stop Putin’s evil
APRIL 22 2022,Bundesbank warns Russian gas embargo would cost Germany 5 per cent in lost output
APRIL 20 2022,‘Worst crisis since the second world war’: Germany prepares for a Russian gas embargo
,German producer prices surge at fastest rate since records began
APRIL 19 2022,Why Germany is resisting calls to ease energy crunch by restarting nuclear power
,Scholz defends German decision not to supply heavy weapons to Kyiv
APRIL 14 2022,"Pique Dame, Baden-Baden — extraordinary refinement from the Berlin Phil"
APRIL 13 2022,German spies shunned offer to meet Wirecard fugitive Jan Marsalek in Moscow
,Why German CEOs are a problem for the corporate sector
,EU ban on Russian energy would spark ‘sharp recession’ in Germany
APRIL 12 2022,German president scraps Ukraine visit after admitting he would not be welcome
APRIL 12 2022,Deutsche Bank/Commerzbank: shareholder sale raises questions about German risk
APRIL 11 2022,Why the middle-class capture of apprenticeship matters
APRIL 10 2022,Eon rules out German nuclear power plant extension
APRIL 8 2022,Germany to provide €100bn in loans to energy groups hit by Ukraine war
APRIL 7 2022,Porsche’s IPO shows old ties are loosening in corporate Germany
,Olaf Scholz defeated over plan for mandatory Covid vaccines in Germany
,Security guard at British embassy in Berlin denies spying for Russia
APRIL 6 2022,Guard at British embassy in Berlin extradited to UK over Russia spying charges
APRIL 5 2022,"Brussels hardens stance on Hungary, softens on Poland"
APRIL 4 2022,Berlin seizes control of Gazprom Germania
APRIL 1 2022,German industry sounds alarm over energy rationing plan
MARCH 31 2022,Europe’s workers face bigger squeeze from real wage cuts
MARCH 30 2022,Russia squeezes Germany over gas
,Germany and Austria plan for gas rationing over payment stand-off with Russia
,German inflation hits 40-year high as ECB president warns of ‘supply shock’
,Fortescue and E.ON sign deal to replace Russian gas with Australian green hydrogen
MARCH 29 2022,JS Bach’s 18th-century guide to Leipzig
MARCH 27 2022,Gerhard Schröder draws German ire by keeping faith with Russia
MARCH 24 2022,Germany sets out €16bn aid package to counter soaring energy costs
MARCH 23 2022,"Ukraine war news from March 23: US says Russia committed war crimes in Ukraine, Russia to switch gas invoicing to roubles for European buyers"
,Scholz warns immediate Russian energy ban would trigger recession in Europe
MARCH 22 2022,German regulator prepares for potential energy rationing next winter
MARCH 21 2022,A Bavarian village gears up for its once-a-decade moment of fame
MARCH 20 2022,Can Europe wean itself off its dependence on Russian fossil fuels?
,Germany clinches long-term gas supply deal with Qatar
MARCH 18 2022,The rise of ‘extreme weather attribution’
MARCH 17 2022,Zelensky accuses Germany of letting down Ukraine
MARCH 15 2022,"Ukraine war will deliver a ‘severe’ hit to EU growth, Brussels warns"
,Germany’s biggest power supplier warns against axing Russian imports
,Intel pours €30bn into chip manufacturing in Europe
MARCH 14 2022,Western leaders must be honest about what it takes to stand up to Putin
,The Soviet pipeline that keeps Europe hooked on Moscow’s oil
,Former Wirecard chief executive charged with fraud
MARCH 13 2022,Germans steel themselves to sever links with Russia
MARCH 10 2022,Versailles summit debates Ukraine membership and EU energy independence
MARCH 9 2022,VW chief warns economic damage from war risks being worse than pandemic
MARCH 7 2022,Markets rattled by push for Russian oil ban in reaction to Ukraine war
MARCH 5 2022,Ukraine invasion nudges Germany towards new security mindset
MARCH 4 2022,The debt that pleasure owes to power
,Floral designer Ruby Barber offers an insider’s guide to Berlin
MARCH 2 2022,War in Ukraine sparks Germany’s defence policy transformation
MARCH 1 2022,Germany’s foreign policy shift is about more than Ukraine
,Germany’s defence industry transformed by Scholz’s €100bn response to Ukraine crisis
,How Putin’s assault on Ukraine turned Europe’s Russia policy on its head
FEBRUARY 28 2022,A watershed moment for Germany
FEBRUARY 27 2022,Germany does ‘180-degree turn’ in defence policy following Russian aggression
,Germany unveils ‘new era’ in defence policy with big military spending jump
,West to impose sanctions on Russian central bank and cut some lenders from Swift
FEBRUARY 26 2022,Russia pours more troops into Ukraine after meeting heavy resistance
FEBRUARY 22 2022,Scholz takes heat off Germany with decision to freeze Nord Stream 2 project
FEBRUARY 22 2022,Ukraine/Russian gas: Germany will have to go cold turkey
FEBRUARY 21 2022,Eurozone economic activity rises at fastest pace since September
FEBRUARY 20 2022,Pushing boundaries: the rise of German business schools
FEBRUARY 19 2022,Germany warns of Russian gas retaliation if war breaks out
FEBRUARY 16 2022,Scholz holds his ground in Putin’s den
FEBRUARY 14 2022,Olaf Scholz’s journey into Putin’s lion’s den
,Hacking/insurance: companies should expect to pay a high price for cyber protection
FEBRUARY 13 2022,Scholz to warn Putin of western resolve on Ukraine
FEBRUARY 9 2022,Germany is in urgent need of a courageous new Ostpolitik
,Bundesbank’s Joachim Nagel calls on Europe to tighten financial belt
,Climate risk takes insurance sector by storm
FEBRUARY 6 2022,Olaf Scholz heads to Washington to shore up Germany’s credibility over Ukraine
FEBRUARY 2 2022,Lithuania calls for more German troops to face Russia ‘threat’
,Top German court instructs Facebook to divulge data on users who insulted MP
FEBRUARY 1 2022,"CTM festival, Berlin — organs in crematoriums, drag queens in Kreuzberg"
JANUARY 31 2022,German and Spanish inflation stays high to increase pressure on ECB
,Eurozone regains pre-crisis GDP level despite winter slowdown
JANUARY 30 2022,Germany’s Russia problem: Ukraine crisis tests new government
JANUARY 29 2022,Britain’s activism in Ukraine crisis rattles Paris and Berlin
JANUARY 28 2022,Leader of Germany’s AfD quits over party’s drift to radical right
,"Vladimir Putin will meet German business leaders, Kremlin says"
JANUARY 27 2022,Latvia slams Germany’s ‘immoral’ relationship with Russia and China
,Joe Biden’s Germany headache
JANUARY 26 2022,How Germany went from Europe’s economic locomotive to its laggard
,Western solidarity on Russia needs German support
JANUARY 25 2022,Poland lashes out at Germany over Ukraine weapons sales
JANUARY 24 2022,"DWS chief under scrutiny over €160,000 ‘Porsche payment’"
JANUARY 22 2022,German navy chief resigns after Crimea comments spark diplomatic row
,Friedrich Merz wins CDU leadership election
JANUARY 19 2022,Germany’s 10-year Bund yield turns positive for first time since 2019
JANUARY 18 2022,Bundesbank warns German lenders of complacency as house prices soar
,Energy trilemma causes a headache for Germany’s new leaders
JANUARY 17 2022,"Covid passes boosted economies and vaccine uptake, study shows"
,3D printing and ‘reshoring’ offer limited protection to supply chains
JANUARY 16 2022,Russia pipeline fuels German coalition split as Ukraine tension rises
JANUARY 14 2022,German economy shrinks in fourth quarter as supply snarl-ups take toll
JANUARY 13 2022,German court convicts former Syrian official of crimes against humanity
JANUARY 11 2022,EU green investment labels pose problems for German coalition
JANUARY 9 2022,Key Bund yield on brink of turning back above zero
,Many happy returns: the city spaces that bring joy to our correspondents and writers
,The EU vs the City of London: a slow puncture
JANUARY 6 2022,Europe tackles vaccine holdouts as Covid cases surge
,Germany’s soaring energy prices force government to promise aid
JANUARY 5 2022,EU fight over carbon allowances sharpens ahead of new tax talks
JANUARY 4 2022,The small German city hosting BioNTech
JANUARY 3 2022,Stand-in saves the day for Berlin Philharmonic’s new year concert
JANUARY 2 2022,Patrick Jenkins’ guide to Frankfurt’s Nordend
,German Greens lead attack on EU plan to label nuclear power ‘sustainable’
DECEMBER 31 2021,Germany gears up for new year vaccination offensive
DECEMBER 29 2021,Deutsche Bank fined €8.7m over rate-rigging safeguards
DECEMBER 28 2021,Germany to protect rights of disabled people in Covid ‘triage’ cases
DECEMBER 26 2021,Germany’s nascent cannabis industry hits new highs as legalisation looms
DECEMBER 25 2021,German city reaps tax windfall from BioNTech’s Covid vaccine success
,German carmakers enjoy record prices for luxury models as production falls
DECEMBER 24 2021,The migrants braving a treacherous Alpine journey to reach France
DECEMBER 22 2021,Arndt Ellinghorst’s parting shots
,"Delivery Hero exits Germany for second time, citing high costs"
DECEMBER 21 2021,Germany holds the key to deterring Russian moves against Ukraine
DECEMBER 20 2021,Russia expels German diplomats in retaliation against Berlin
,Germany looks to Nagel to retain Bundesbank’s ‘anti-inflation’ message
DECEMBER 19 2021,Deutsche Bank fired senior manager over explicit messages and photos
,German industry berates Deutsche Bahn over rail freight problems
DECEMBER 17 2021,German business hits out at China after Lithuania trade row snares exports
,Recession risk looms for Germany as business confidence falls
,Conservative Friedrich Merz wins poll to lead Germany’s Christian Democrats
DECEMBER 15 2021,‘Silicon Saxony’ aims to be EU chipmaking hub
,French look on in envy at Germany’s grown-up politics
,Germany to expel Russian diplomats after court accuses Kremlin of ‘state terrorism’
,Germany’s Russia Problem — a tricky balancing act
,Olaf Scholz warns of threat from Germany’s extreme anti-vaccine campaigners
DECEMBER 13 2021,European gas prices rise after German concerns over Nord Stream 2
DECEMBER 12 2021,Ukraine blames Germany for ‘blocking’ Nato weapons supply
,Germany must become an ecological social market economy
DECEMBER 8 2021,Scholz’s top Europe aide to hit ground running
,China policy will test Germany’s coalition
DECEMBER 8 2021,Olaf Scholz elected German chancellor by Bundestag
,Germany eyes Nord Stream 2 sanctions if Russia invades Ukraine
,"News updates from December 8: Pfizer says third vaccine shot neutralises Omicron, UK reveals new Covid restrictions, Putin says Biden agreed to ‘substantive’ future talks on security"
DECEMBER 7 2021,The challenges facing Olaf Scholz’s new German government
,US to demand halt to Nord Stream 2 if Russia invades Ukraine
,New German finance minister signals openness on EU fiscal rules
DECEMBER 6 2021,Russia lands Germany’s Scholz with his first foreign policy test
,Public health expert Karl Lauterbach named Germany’s health minister
DECEMBER 5 2021,Olaf Scholz plots a way round Germany’s debt rules
DECEMBER 4 2021,Berlin airport shows new German government how not to finance growth
DECEMBER 3 2021,Merkel leaves bittersweet legacy for ‘Ossis’ as she quits German politics
DECEMBER 2 2021,Scholz eyes Joachim Nagel to run Germany’s Bundesbank
,Germany moves towards mandatory vaccination and tightens Covid curbs
,Has Berlin got a Green light to get tough on Beijing?
,Germany’s new government offers more than meets the eye
DECEMBER 1 2021,Germany follows Italy and Portugal with military vaccination tsar
NOVEMBER 30 2021,Covid backlash: Europe’s populists eye opportunity
,Record eurozone inflation of 4.9% puts pressure on ECB
NOVEMBER 29 2021,Sleepless at the Staatsoper Berlin — vocal performances close to perfection
,German inflation of 6% adds to pressure on ECB
NOVEMBER 28 2021,Nations race to contain Omicron variant as more cases detected
,Europe dashes for booster jabs amid surge in Covid cases
NOVEMBER 26 2021,Germany’s Covid conundrums — and goodbye to a Berlin radical
,"From cannabis to refugees, Scholz plans to leave progressive mark on Germany"
,Tesla forced to turn down €1.1bn in EU support for German battery plant
NOVEMBER 25 2021,British armoured division returns to Germany amid Ukraine tensions
,China and Russia in spotlight as Greens take charge of German foreign policy
,Olaf Scholz brings winds of change to Germany
NOVEMBER 24 2021,What the new German government has in store for Europe
,Deutsche Bahn whistleblowers alleged fraud at Germany’s biggest infrastructure project
,Scholz bridges political differences to become Germany’s heir to Merkel
,Scholz to become next German chancellor after clinching coalition deal
,A political experiment takes shape under Scholz in Germany
NOVEMBER 23 2021,Eurozone business activity picks up despite surging inflation
NOVEMBER 21 2021,Germany’s cautious consumers feel the pinch from surging inflation
NOVEMBER 18 2021,Europe toughens restrictions to tackle wave of Covid infections
NOVEMBER 17 2021,Pandemic stress-tests Germany’s two-tier health system
NOVEMBER 16 2021,Germany suspends certification of Nord Stream 2 pipeline
,Nuclear weapons debate in Germany touches a raw Nato nerve
NOVEMBER 15 2021,German legislators seek tighter rules for unvaccinated
NOVEMBER 14 2021,The oldest asset class of all still dominates modern wealth
NOVEMBER 12 2021,Austria and Netherlands set out stringent curbs to control Covid-19
,Boris Johnson urges Britons to get Covid booster jabs
NOVEMBER 10 2021,‘Nein Danke’: the resistance to Covid-19 vaccines in German-speaking Europe
,German economic recovery stumbles as Covid cases hit record high
NOVEMBER 8 2021,Axel Springer plans to force disclosure of employee relationships after Bild scandal
NOVEMBER 5 2021,Deutschland AG had a good pandemic but investors don’t care
NOVEMBER 4 2021,Rising Covid infections in Europe spark fears of new wave
NOVEMBER 3 2021,German arguments over next finance minister echo beyond its borders
OCTOBER 31 2021,Ukraine gas chief urges EU to resist Russia pressure on Nord Stream 2
OCTOBER 29 2021,Villain or victim? The mysterious Mr Caner steps out of the shadows
,Eurozone economic rebound narrows gap with US and China
OCTOBER 26 2021,China blamed for cancellation of events for German book on Xi Jinping
OCTOBER 25 2021,Supply chain warnings intensify
OCTOBER 24 2021,Germany and Europe face the same challenges in upending fiscal status quo
OCTOBER 22 2021,A new German economic era dawns as the Bundesbank changes guard
,In Berlin 85% of people rent their homes — and prices are spiralling
OCTOBER 20 2021,Europe after Merkel: will Germany take a tougher approach?
,Picking Jens Weidmann’s successor presents key test for Germany’s coalition talks
,End of an era as Bundesbank chief Jens Weidmann steps down
OCTOBER 18 2021,German watchdog imposes strict cap on N26’s client growth
,Germany’s FDP agrees to formal coalition talks
OCTOBER 15 2021,Elon Musk jets in as Tesla opens German ‘gigafactory’ to the public
,Germany closes in on SPD-led government with Scholz at helm
OCTOBER 14 2021,Economists slash German growth forecast as supply problems hit
OCTOBER 13 2021,Higher wages for German workers would benefit all of Europe
,Eurozone industrial output falls as supply bottlenecks take toll
OCTOBER 12 2021,Europe’s trucker shortage becoming ‘extremely dangerous’
,The world won’t wait for Germany’s coalition negotiators
OCTOBER 11 2021,Moderate face of Germany’s AfD steps down as party shifts further right
OCTOBER 10 2021,Angela Merkel’s shrewd avoidance of stale leader syndrome
,Merkel’s botched succession: how Germany’s leader failed to keep her party in power
OCTOBER 7 2021,Nuclear power can help fill the gaps in a tricky energy transition
,Laschet signals he will quit as leader of Germany’s CDU
OCTOBER 6 2021,Political frenemies jostle for power in next German government
OCTOBER 6 2021,Olaf Scholz eyes narrow path to German ‘traffic light’ coalition after Merkel
,German parties to start three-way talks on coalition led by Social Democrats
OCTOBER 5 2021,Eight Days in May and Aftermath — the fall and rise of postwar Germany
OCTOBER 4 2021,Europe’s social democrats are back —but for how long?
,Why Germany is the west’s sanest country
OCTOBER 3 2021,German parties kick off exploratory coalition talks
,German regulator files criminal complaint against Northern Data staff
OCTOBER 1 2021,‘Our government forgot young people’: German youth flock to Greens and FDP
,German workers strike for higher pay as eurozone inflation surges
SEPTEMBER 30 2021,Europe’s battered left draws comfort from Scholz victory in Germany
,German court orders insider trader to repay almost 6 times his profits
,German inflation hits 29-year high of 4.1%
,Former concentration camp secretary arrested after attempting to flee justice
SEPTEMBER 29 2021,German businesses optimistic about potential three-party coalition
SEPTEMBER 28 2021,‘Worlds colliding’: Greens and liberals seek common ground for governing after Merkel
,A flawed plan to raise student loan repayments
,Change is in the air in Germany despite a messy election outcome
SEPTEMBER 27 2021,What do the German election results mean for markets?
,Merkel’s natural heir: how Olaf Scholz won Germany’s election
,Political renovation is a German strength
,"After Merkel, the CDU surveys the wreckage"
,Germany’s ‘kingmaker’ parties to start talks after narrow SPD election win
,Germany’s post-Merkel era: the coalition options and what they mean
,Berlin voters back call for property expropriation
,Europe still lacks a unifying vision
SEPTEMBER 27 2021,Germany’s election results in charts and maps
,Greens and FDP emerge as kingmakers in bid to succeed Merkel
,German election 2021: FT subscriber webinar
SEPTEMBER 26 2021,Scholz and Social Democrats win tight German election
,German election likely to extend Merkel’s long goodbye
,Laschet claws back ground in Germany’s coalition contest
,Germany’s ‘2015 migrant wave citizens’ cast first votes
,Germany votes on successor to Angela Merkel
SEPTEMBER 24 2021,Keeping fresh: which wines last longest?
,Germany’s electoral oracle struggles to divine the post-Merkel future
,Olaf Scholz leads by whisker in last hours before German election
,Deutsche Wohnen/Vonovia: German house party strikes sour note for minorities
,Angela Merkel really was from Venus
,"After Merkel, Germany needs a modernising government"
SEPTEMBER 23 2021,Sparks fly in last German debate before election
,What investors are looking for from the German elections
,A close-up view of Germany’s democratic puzzle
,Investors on watch for ‘political shift’ after Germany’s election
,"Aukus security pact is ‘insult to a Nato partner’, says Merkel’s adviser"
,Germany’s climate change gulf gets harder to bridge
SEPTEMBER 22 2021,Online conspiracy theorists stir doubts in German election
,"Despite Covid, German companies aren’t going bust"
,Germany’s election: a new era of uncertain coalition politics
SEPTEMBER 21 2021,Merkel woos voters one more time to prop up Laschet’s faltering campaign
SEPTEMBER 20 2021,What Germany’s election means for the country’s debt debate
SEPTEMBER 20 2021,Olaf Scholz grilled over Germany’s anti-money laundering unit
SEPTEMBER 19 2021,The Merkel era in charts: what changed in Germany?
SEPTEMBER 17 2021,Germany poll tracker: the race to succeed Angela Merkel
SEPTEMBER 16 2021,Climate anxiety fails to translate into votes as German election looms
,‘I was always in love with Asian art’ — collector Désiré Feuerle
,The East-West divide still splits Germany
SEPTEMBER 15 2021,Frugal politician eyes finance ministry in next German coalition
,Scholz summoned before German MPs over money-laundering scandal
,Germany’s Greens are still waiting for their moment
SEPTEMBER 14 2021,German liberal leader signals bumps on road to ‘traffic-light’ coalition
SEPTEMBER 13 2021,Germany searches for ways to boost flagging Covid vaccination campaign
SEPTEMBER 12 2021,The odd couple: how Germany’s Greens embraced business
,Scholz endures Laschet grilling in German election debate
SEPTEMBER 10 2021,"Olaf Scholz, the man bidding to be Merkel’s heir"
SEPTEMBER 9 2021,CDU on attack over Europe as Scholz increases German poll lead
,Germany finance ministry probed over suspected obstruction of justice
,Germany’s stock market needs deeper change
SEPTEMBER 8 2021,How Germany’s chancellor candidates square on Europe
,Europe does not need four more years of ‘Merkelism’
,Frankfurt’s repair cafés fight back against ‘planned obsolescence’
,Germany’s unhelpful stance on trade will take time to shift
SEPTEMBER 7 2021,Germany takes lead as EU navigates how to engage with Taliban regime
,The spirit of Angela Merkel looms over Germany’s electoral race
,Angela Merkel implores Germans to pick Armin Laschet as her successor
SEPTEMBER 6 2021,Germany protests to Russia over wave of cyber attacks
SEPTEMBER 6 2021,An awkward path to power opens for Germany’s Social Democrats
SEPTEMBER 5 2021,EU policies await German election outcome
SEPTEMBER 3 2021,CDU’s Laschet reboots campaign to succeed Merkel after slide in polls
SEPTEMBER 2 2021,A brand-new classic: the Golden Horizon sets sail
SEPTEMBER 1 2021,After Angela: how one woman shaped a generation — and Europe
AUGUST 31 2021,Portrait of a park: the serene splendours of Frankfurt’s Palmengarten
AUGUST 30 2021,"US automation in the pandemic, Bank of America’s tech training"
,German inflation surges to 13-year high of 3.4%
AUGUST 29 2021,Germany: Scholz seeks to topple a CDU reeling as the Merkel era ends
,Eurozone’s consumer-led recovery continues despite Covid resurgence
,First German election debate reveals gulf on climate change policy
,Deadline day looms in Afghanistan
,Few fireworks but German election set to deliver a tight finish
AUGUST 25 2021,Turkey says it won’t ‘warehouse’ Afghan refugees
,German election wide open as Merkel successor loses poll lead
,Coronavirus: Ford delays office return until 2022 and considers vaccine mandate — as it happened
,German business confidence falls as concerns mount
,Supply chains are a mess. So how come trade is booming?
AUGUST 23 2021,Scientists warn of increased frequency of extreme weather events
,Strong expansion in eurozone business activity boosts hiring
AUGUST 22 2021,"Russia cannot use Nord Stream 2 pipeline as a ‘weapon’, Merkel says"
AUGUST 19 2021,European leaders fear repeat of 2015 crisis with Afghan refugees
,US officials in Berlin struck by ‘Havana syndrome’ symptoms
,Germany must end the confusion over security and defence
AUGUST 17 2021,Germany’s Baerbock sets out sharp break with Merkel era for Greens
AUGUST 14 2021,The Berlin spy case reminds us that real espionage is banal and human
AUGUST 13 2021,Berlin’s referendum and the housing costs fury
AUGUST 11 2021,Europe’s motley Covid passport protesters find unity in liberty
,Scientists aim to re-freeze polar ice
,Germany arrests Briton on suspicion of spying for Russia
AUGUST 10 2021,‘Solid’ Scholz outshines rivals on German campaign trail
AUGUST 9 2021,‘My flat is now a commodity’: Berlin to vote on seizing rental properties
AUGUST 8 2021,Reform and renewal is long overdue in Germany
AUGUST 6 2021,German industrial production drops for third month in a row
,Tokyo Olympics Daily: Athletics enters final stretch with new teams in the lead
AUGUST 5 2021,Germany’s wine country counts cost of devastating summer floods
AUGUST 4 2021,‘None of the above’ leads a pivotal German election race
AUGUST 3 2021,Commerzbank swings to loss as restructuring costs bite
,"In wake of summer floods, German Greens seek fresh election momentum"
AUGUST 1 2021,Curiouser and curiouser: Frankfurt’s most fascinating bike routes
,Europe adopts carrot-and-stick approach towards vaccine refuseniks
JULY 29 2021,German inflation hits highest level since 2008
JULY 27 2021,German liberals eye government role as electoral prospects improve
JULY 26 2021,Floods/reinsurers: secondary perils become primary threats
,Bayreuth’s Flying Dutchman is led by a woman at last
,German business confidence dips as Covid and supply chain worries grow
JULY 25 2021,Merkel aide warns of rising Covid infections and possible curbs on unvaccinated
,German floods increase pressure for a break with the Merkel era
JULY 24 2021,Timeline of temperature extremes reveals global pattern of record highs
JULY 23 2021,Extreme weather takes climate change models ‘off the scale’
JULY 23 2021,Germany’s €18bn real estate merger falls apart as investors balk
JULY 22 2021,German-US deal on Nordstream 2 pipeline fails to bridge European divides
JULY 21 2021,Germany and US reach truce over Nord Stream 2 pipeline
,German government pledges €200m in flood aid
JULY 20 2021,Machtverfall — a scathing report card on Angela Merkel’s final term
,US signals it is nearing deal with Germany on Nord Stream 2
JULY 19 2021,Fitness guru Jess Schuring’s wellness guide to Frankfurt
JULY 17 2021,Floods drive climate to heart of German election campaign
JULY 16 2021,Climate change blamed for devastating German floods
JULY 15 2021,Merkel presses Biden over lifting Covid-related Europe travel ban
,German floods leave 58 dead with dozens still missing
JULY 14 2021,Germany’s spy chief warns of cyber attacks on Bundestag election
JULY 13 2021,Angela Merkel makes last official US trip with Ukraine high on agenda
,"EU draft tech rules too ‘narrow’, says German competition head"
,"Germany should restrict press freedom to ease IPOs, advisers suggested"
,Sharper strategic thinking will help Germany mend fences with US
JULY 12 2021,German climate group challenges ‘establishment’ Greens
JULY 10 2021,"The handshake is back, sort of, and it’s causing etiquette chaos"
JULY 7 2021,Germany grants institutional funds the ability to invest in crypto
,Court orders Commerzbank to rehire former Wirecard analyst
,Car chip shortage weighs on German economy
JULY 5 2021,Greens argue case for reforming Germany’s strict fiscal rules
,Lars Windhorst under investigation by criminal prosecutors
JULY 4 2021,What will investors learn from the Fed’s minutes?
JULY 2 2021,Merkel says double-vaccinated Britons will soon be able to visit Germany
JULY 1 2021,Johnson urges reopening of EU travel in farewell talks with Merkel
,German minister slams ‘irresponsible’ Uefa for letting UK host Euro 2020 finals
JUNE 30 2021,The German threat to the UK is indifference
,Can Germany atone for its colonial-era genocide?
JUNE 28 2021,German finance minister rejects calls to reform fiscal rules
,England’s one-sided football rivalry with Germany loses its bite
JUNE 27 2021,Germany’s post-pandemic budget will ripple beyond its borders
JUNE 25 2021,Merkel’s failed Russia summit signals waning of her power
JUNE 24 2021,Merkel and Macron fail in push for EU summit with Putin
JUNE 23 2021,"After Merkel, Germany must admit the return of history"
,Berlin under fire over attempt to interfere with Wirecard inquiry
,Berlin and Paris propose reset for EU relations with Moscow
